source,input_dim,input_size,output,output_dim,output_size,resized,format_in,format_out,pages,page,status
car_black.jpg,,,,,,,JPG,JPEG,,,error: cannot identify image file 'input\\car_black.jpg'
car_blue.jpg,,,,,,,JPG,JPEG,,,error: cannot identify image file 'input\\car_blue.jpg'
car_hatchback_animated.gif,640×360,43.4 KB,car_hatchback_animated_frame01.jpg,640×360,19.8 KB,No,GIF,JPEG,3,1,ok
car_hatchback_animated.gif,640×360,43.4 KB,car_hatchback_animated_frame02.jpg,640×360,14.3 KB,No,GIF,JPEG,3,2,ok
car_hatchback_animated.gif,640×360,43.4 KB,car_hatchback_animated_frame03.jpg,640×360,19.8 KB,No,GIF,JPEG,3,3,ok
car_hatchback_silver.jpg,1280×720,58.8 KB,car_hatchback_silver.jpg,1280×720,48.7 KB,No,JPG,JPEG,1,1,ok
car_icon.ico,256×256,18.8 KB,car_icon.jpg,256×256,10.1 KB,No,ICO,JPEG,1,1,ok
car_logo.svg,,,,,,,SVG,JPEG,,,error: cairosvg not installed
car_luxury_black.jpg,1280×720,35.9 KB,car_luxury_black.jpg,1280×720,27.1 KB,No,JPG,JPEG,1,1,ok
car_luxury_black.webp,1280×720,9.3 KB,car_luxury_black_112756.jpg,1280×720,26.2 KB,No,WEBP,JPEG,1,1,ok
car_red.jpg,,,,,,,JPG,JPEG,,,error: cannot identify image file 'input\\car_red.jpg'
car_sedan_red.jpg,1280×720,67.8 KB,car_sedan_red.jpg,1280×720,57.2 KB,No,JPG,JPEG,1,1,ok
car_sedan_red.png,1280×720,20.0 KB,car_sedan_red_112756.jpg,1280×720,57.7 KB,No,PNG,JPEG,1,1,ok
car_sports_blue.jpg,1280×720,64.4 KB,car_sports_blue.jpg,1280×720,53.9 KB,No,JPG,JPEG,1,1,ok
car_sports_blue.tiff,1280×720,2.64 MB,car_sports_blue_112756.jpg,1280×720,54.1 KB,No,TIFF,JPEG,1,1,ok
car_suv_white.bmp,1280×720,2.64 MB,car_suv_white.jpg,1280×720,48.4 KB,No,BMP,JPEG,1,1,ok
car_suv_white.jpg,1280×720,59.5 KB,car_suv_white_112756.jpg,1280×720,48.3 KB,No,JPG,JPEG,1,1,ok
car_white.jpg,,,,,,,JPG,JPEG,,,error: cannot identify image file 'input\\car_white.jpg'
vehicle_inspection_report_5pages.pdf,1785×2526,326.2 KB,vehicle_inspection_report_5pages_page01.jpg,1785×2526,306.0 KB,No,PDF,JPEG,5,1,ok
vehicle_inspection_report_5pages.pdf,1785×2526,326.2 KB,vehicle_inspection_report_5pages_page02.jpg,1785×2526,264.4 KB,No,PDF,JPEG,5,2,ok
vehicle_inspection_report_5pages.pdf,1785×2526,326.2 KB,vehicle_inspection_report_5pages_page03.jpg,1785×2526,304.0 KB,No,PDF,JPEG,5,3,ok
vehicle_inspection_report_5pages.pdf,1785×2526,326.2 KB,vehicle_inspection_report_5pages_page04.jpg,1785×2526,251.5 KB,No,PDF,JPEG,5,4,ok
vehicle_inspection_report_5pages.pdf,1785×2526,326.2 KB,vehicle_inspection_report_5pages_page05.jpg,1785×2526,273.4 KB,No,PDF,JPEG,5,5,ok
